Year,Movie,Won?,Budget,Opening Weekend,IMDB Rating,Genres,Won Golden Globe,Won Bafta,Oscar Nominations,Golden Globe Nominations,Bafta Nominations,IMdB id,Won Producers,Won Directors,Won Actors,Rate,Metascore
2014,American Sniper,0,58800000,89269067,7.3,"Action, Biography, Drama, History, Thriller, War",0,0,6,0,2,tt2179136,0,0,0,R,72
2014,Boyhood,0,4000000,1992448,7.9,Drama,1,1,6,5,5,tt1065073,0,0,0,R,100
2014,The Grand Budapest Hotel,0,25000000,811166,8.1,"Adventure, Comedy, Drama",1,0,9,4,11,tt2278388,0,0,0,R,88
2014,The Imitation Game,0,14000000,7932292,8.1,"Biography, Drama, Thriller, War",0,0,8,5,9,tt2084970,0,0,0,PG-13,73
2014,Selma,0,20000000,11307394,7.5,"Biography, Drama, History",0,0,2,4,0,tt1020072,0,0,0,PG-13,89
2014,The Theory of Everything,0,15000000,,7.7,"Biography, Drama, Romance",0,0,5,4,10,tt2980516,0,0,0,PG-13,72
2014,Whiplash,0,3300000,,8.5,"Drama, Music",0,0,6,1,5,tt2582802,0,0,0,R,88
2013,12 Years a Slave,1,20000000,923715,8.1,"Biography, Drama, History",1,1,9,7,11,tt2024544,1,0,0,R,96
2013,American Hustle,0,40000000,740455,7.3,"Crime, Drama",1,0,10,7,10,tt1800241,0,0,1,R,90
2013,Captain Phillips,0,55000000,26000000,7.8,"Biography, Drama, Thriller",0,0,6,4,9,tt1535109,0,0,0,PG-13,83
2013,Dallas Buyers Club,0,5000000,260865,8,"Biography, Drama",0,0,6,2,0,tt0790636,0,0,0,R,84
2013,Gravity,0,100000000,55785112,7.8,"Adventure, Drama, Sci-Fi, Thriller",0,0,10,4,11,tt1454468,1,1,0,PG-13,96
2013,Her,0,23000000,,8,"Drama, Romance, Sci-Fi",0,0,5,3,0,tt1798709,0,0,0,R,90
2013,Nebraska,0,12000000,1552426,7.7,"Adventure, Comedy, Drama",0,0,6,5,3,tt1821549,0,0,0,R,86
2013,Philomena,0,12000000,,7.6,"Biography, Drama",0,0,4,3,5,tt2431286,0,0,0,PG-13,77
2013,The Wolf of Wall Street,0,100000000,18361578,8.2,"Biography, Comedy, Crime, Drama",0,0,5,2,4,tt0993846,0,0,0,R,75
2012,Argo,1,44500000,19458109,7.7,"Biography, Drama, History, Thriller",1,1,7,5,7,tt1024648,1,1,1,R,86
2012,Amour,0,8900000,,7.9,"Drama, Romance",0,1,5,1,4,tt1602620,0,0,0,PG-13,94
2012,Beasts of the Southern Wild,0,1800000,169702,7.3,"Drama, Fantasy",0,0,4,0,1,tt2125435,0,0,0,PG-13,86
2012,Django Unchained,0,100000000,30688000,8.4,"Drama, Western",0,0,5,5,5,tt1853728,0,0,0,R,81
2012,Les Misérables,0,61000000,28027000,7.6,"Drama, Musical, Romance",1,0,8,4,9,tt1707386,0,0,0,PG-13,63
2012,Life of Pi,0,120000000,22451514,7.9,"Adventure, Drama, Fantasy",0,0,11,3,10,tt0454876,0,0,0,PG,79
2012,Lincoln,0,65000000,21049406,7.4,"Biography, Drama, History, War",0,0,12,7,10,tt0443272,0,0,0,PG-13,86
2012,Silver Linings Playbook,0,21000000,443003,7.8,"Comedy, Drama, Romance",0,0,8,4,3,tt1045658,0,0,0,R,81
2012,Zero Dark Thirty,0,40000000,417150,7.4,"Drama, History, Thriller",0,0,5,4,6,tt1790885,0,0,0,R,95
2011,The Artist,1,15000000,204878,7.9,"Comedy, Drama, Romance",1,1,10,6,12,tt1655442,1,1,0,PG-13,89
2011,The Descendants,0,20000000,1190096,7.3,"Comedy, Drama",1,0,5,5,3,tt1033575,0,0,0,R,84
2011,Extremely Loud & Incredibly Close,0,40000000,,6.9,"Adventure, Drama, Mystery",0,0,2,0,0,tt0477302,0,0,0,PG-13,46
2011,The Help,0,25000000,26044590,8.1,Drama,0,0,4,5,5,tt1454029,0,0,1,PG-13,62
2011,Hugo,0,150000000,11364505,7.5,"Adventure, Drama, Family, Fantasy, Mystery, Romance",0,0,11,3,10,tt0970179,0,0,0,PG,83
2011,Midnight in Paris,0,17000000,599003,7.7,"Comedy, Fantasy, Romance",0,0,4,4,1,tt1605783,0,0,0,PG-13,81
2011,Moneyball,0,50000000,19501302,7.6,"Biography, Drama, Sport",0,0,6,4,3,tt1210166,0,0,0,PG-13,87
2011,The Tree of Life,0,32000000,493788,6.8,"Drama, Fantasy",0,0,3,0,0,tt0478304,0,0,0,PG-13,85
2011,War Horse,0,66000000,14527972,7.2,"Drama, War",0,0,6,2,5,tt1568911,0,0,0,PG-13,72
2010,Black Swan,0,13000000,1443809,8,"Drama, Thriller",0,0,5,4,12,tt0947798,0,0,0,R,79
2010,The Fighter,0,25000000,12135468,7.9,"Biography, Drama, Sport",0,0,7,6,3,tt0964517,0,0,0,R,79
2010,Inception,0,160000000,62785337,8.8,"Action, Adventure, Sci-Fi, Thriller",0,0,8,4,9,tt1375666,0,0,0,PG-13,74
2010,The Kids Are All Right,0,3500000,491971,7.1,"Comedy, Drama, Romance",1,0,4,4,4,tt0842926,0,0,0,R,86
2010,The King's Speech,1,15000000,355450,8,"Biography, Drama",0,1,12,7,14,tt1504320,1,1,1,R,88
2010,127 Hours,0,18000000,264851,7.6,"Adventure, Biography, Drama, Thriller",0,0,6,3,9,tt1542344,0,0,0,R,82
